gene	magma_p	magma_trait	magma_sig	transcriptome_sig	coloc_sig	fine_map_sig	evidence_count	integrated_score
387712	1.0928e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.961459313662543
102723619	1.1163e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.952219075258803
10773	1.2047e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.919121089658183
64426	1.2268e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.911226232689552
55342	1.229e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.910448117113546
3026	1.2427e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.905633701663866
89894	1.2586e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.900112272588533
9793	1.2613e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.899181604268463
4038	1.417e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.848630149752539
100616405	1.4572e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.836480837430122
56252	1.6017e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.795418824422429
3362	1.634e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.786747947803604
100507401	1.6353e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.786402563252641
54715	1.7297e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.762029214583664
217	1.8141e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.741338776674396
100996712	1.8473e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.733462569765694
102466726	1.8597e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.730557108928764
112268068	1.8809e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.725634293552575
84364	1.8909e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.723331438154722
100132677	1.9173e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.717309927731781
9439	1.9834e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.702589691102609
106632271	2.032e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.692076296388119
23007	2.1669e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.664161130420046
9649	2.2299e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.651714612477388
23200	2.4112e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.617766765029444
554282	2.4728e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.606811007944751
80724	2.5096e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.600395494310312
2844	2.5202e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.59856499277013
55847	2.9708e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.52712658475644
6311	3.0896e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.510097743564681
1993	3.3761e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.471584698063861
442117	3.6711e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.435203785243581
56884	3.7249e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.428885381984452
10019	3.7893e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.421441010141488
255104	3.9213e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.406569930624921
693185	3.9238e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.406293137150903
81571	3.9238e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.406293137150903
200942	4.0224e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.395514743994136
80816	4.0309e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.394597975845185
284018	4.1372e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.383293483988006
124801	4.1652e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.380364140280963
2890	4.2094e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.375779803275808
93986	4.2174e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.374955206299731
51347	4.3944e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.357100413986697
102724552	4.6971e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.328170193705215
79811	4.7392e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.324294963158885
64925	5.0355e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.2979573996963065
111216287	5.6073e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.251246207793215
283571	5.6624e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.24699945470656
11033	5.716e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.242907779881067
5000	5.7316e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.241724125995275
1743	5.7832e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.237831788261087
93664	5.8275e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.234517717807385
54905	6.0243e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.2200934091346385
2876	6.0778e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.216253595194787
105373519	6.1888e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.208393551933111
100616256	6.6982e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.174041889104361
7284	6.6982e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.174041889104361
102465456	6.8581e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.163796186597634
794	7.2969e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.136861605473491
102465537	7.5886e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.119838338512487
1630	7.7443e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.11101783160088
2535	7.853e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.104964402547678
692206	8.2239e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.0849221791990225
146433	8.7826e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.056376896565719
84912	8.873e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.051929518481059
253430	8.9784e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.046801050090189
406966	9.116e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.040195683491662
494337	9.116e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.040195683491662
54664	9.1327e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.039400808254256
1960	9.145e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.038816290187564
339834	9.2951e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.031745933572064
283392	9.3451e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.029416046964034
10973	9.5096e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.021837750301938
60493	9.5208e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.021326557814244
11273	9.532e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.020815966325581
23452	9.8496e-05	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	4.006581406184634
643812	0.00010204	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9912295500622474
51075	0.00010896	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.96273290543129
2632	0.00010937	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9611017878854673
6988	0.00011113	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9541686856522453
57410	0.00011226	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9497749621163463
100847020	0.00011348	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9450806728761854
100500830	0.00011393	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9433619026203477
441208	0.00011393	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9433619026203477
693134	0.00011393	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9433619026203477
163259	0.00011988	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.921253265726393
100500889	0.00012155	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9152450368206453
84276	0.00012264	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9113678581536813
109136578	0.00012416	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.906018296085887
109136579	0.00012416	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.906018296085887
378938	0.00012416	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.906018296085887
101927273	0.00012481	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.9037506168103886
1385	0.00012734	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.895035154472177
105377175	0.00013493	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8698914796390635
102465429	0.00013556	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8678684398346594
102465985	0.00013556	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8678684398346594
100132501	0.00014042	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.852571031301344
8576	0.00014505	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.838482266861317
105376975	0.00014695	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.832830409591369
10961	0.00014886	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8272219853441474
10286	0.00015023	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8232433327547417
23531	0.00015068	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.82194438846877
7444	0.00015145	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8197307223311254
151194	0.00015344	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.814061410173412
4485	0.00015359	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.813637059605269
275	0.0001546	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.810790510417694
575	0.0001553	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8088285442714414
80018	0.00015642	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.8057077184480277
84336	0.00015842	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.800189991046193
